Virginia Department Of Education ,,,,,,,,,,,,,,,,,,,,
Public School Listing,,,,,,,,,,,,,,,,,,,,
Division  Num ,Division Name ,NCES School Num ,School  Num ,School Name ,Low  Grades ,High  Grades ,Division  Description ,School Description ,Grade  Standard ,Schedule ,Principal ,Address1 ,Address2 ,City ,State ,Zip ,Phone  Number ,Fall  Membership  Schools,,
2,Albemarle County Public Schools,5.10009E+11,240,Stony Point Elementary,KG,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Maureen  Jensen ,3893 Stony Point Road,,Keswick,VA,22947,434-973-6405,Membership,,
2,Albemarle County Public Schools,5.10009E+11,910,Virginia L. Murray Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,C'ta  Delaurier ,3251 Morgantown Road,,Charlottesville,VA,22903,434-977-4599,Membership,,
2,Albemarle County Public Schools,5.10009E+11,140,Western Albemarle High,9,12,Local Education Agency,Public school - Regular,High,8 period,Jennifer  Sublette ,5941 Rockfish Gap Turnpike,,Crozet,VA,22932,434-823-8700,Membership,,
2,Albemarle County Public Schools,5.10009E+11,930,Woodbrook Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Kristen  Williams ,100 Woodbrook Drive,,Charlottesville,VA,22901,434-973-6600,Membership,,
101,Alexandria Public Schools,5.10012E+11,210,Alexandria City High,9,12,Local Education Agency,Public school - Regular,High,8 A/B,Peter  Balas ,3330 King St,,Alexandria,VA,22302,703-824-6800,Membership,,
101,Alexandria Public Schools,5.10012E+11,120,Charles Barrett Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Loren  Brody ,1115 Martha Custis Dr,,Alexandria,VA,22302,703-824-6960,Membership,,
101,Alexandria Public Schools,,9990,Community PK School,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
101,Alexandria Public Schools,5.10012E+11,160,Cora Kelly School for Math Science and Technology,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Jasibi  Crews ,3600 Commonwealth Ave,,Alexandria,VA,22305,703-706-4420,Membership,,
101,Alexandria Public Schools,5.10012E+11,110,Douglas Macarthur Elementary,KG,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Penny  Hairston ,1101 Janneys Ln,,Alexandria,VA,22302,703-461-4190,Membership,,
101,Alexandria Public Schools,5.10012E+11,360,Early Childhood Center,PK,PK,Local Education Agency,Public school - Preschool,Elementary,,Heidi  Haggerty Wagner ,5651 Rayburn Avenue,,Alexandria,VA,22311,703-824-6970,Membership,,
101,Alexandria Public Schools,5.10012E+11,350,Ferdinand T. Day Elementary,KG,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Rachael  Dischner ,1701 N Beauregard Street,,Alexandria,VA,22311,703-619-8125,Membership,,
101,Alexandria Public Schools,5.10012E+11,140,Francis C. Hammond Middle,6,8,Local Education Agency,Public school - Regular,Middle,7 A/B,Pierrette  Peters ,4646 Seminary Road,,Alexandria,VA,22304,703-461-4100,Membership,,
101,Alexandria Public Schools,5.10012E+11,100,George Mason Elementary,KG,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Seazante  Oliver ,2601 Cameron Mills Rd,,Alexandria,VA,22302,703-706-4470,Membership,,
101,Alexandria Public Schools,5.10012E+11,130,George Washington Middle,6,8,Local Education Agency,Public school - Regular,Middle,7 A/B,Jesse  Mazur ,1005 Mount Vernon Avenue,,Alexandria,VA,22301,703-706-4500,Membership,,
101,Alexandria Public Schools,,370,Governor's Health Science Academy at T.C. Williams High,,,Local Education Agency,Public center - Governor's Health Academy,,4X4,   ,3330 King Street,,Alexandria,VA,22302,703-619-8020,Non-Membership,,
101,Alexandria Public Schools,,9991,Home Educational Services,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
101,Alexandria Public Schools,,9999,Homebased,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
101,Alexandria Public Schools,,9998,Homebound,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
101,Alexandria Public Schools,5.10012E+11,220,James K. Polk Elementary,KG,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Carla  Carter ,5000 Polk Ave,,Alexandria,VA,22304,703-461-4180,Membership,,
101,Alexandria Public Schools,5.10012E+11,90,Jefferson-Houston PK-8 School,PK,8,Local Education Agency,Public school - Regular,Combined,Traditional Elementary,Dr. John  McCain ,1501 Cameron St,,Alexandria,VA,22314,703-706-4400,Membership,,
101,Alexandria Public Schools,5.10012E+11,230,John Adams Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Alicia  Kingcade ,5651 Rayburn Ave,,Alexandria,VA,22311,703-824-6970,Membership,,
101,Alexandria Public Schools,,9997,Local or Regional Jail,KG,12,Local Education Agency,Local or Regional Jail,Combined,,Dr. Victor  Martin ,1701 N Beauregard Street,,Alexandria,VA,22311,703-824-6709,Membership,,
101,Alexandria Public Schools,5.10012E+11,80,Lyles-Crouch Elementary,KG,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Dr. Patricia  Zissios ,530 S St Asaph St,,Alexandria,VA,22314,703-706-4430,Membership,,
101,Alexandria Public Schools,5.10012E+11,30,Mount Vernon Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Liza  Burrell-Aldana ,2601 Commonwealth Ave,,Alexandria,VA,22305,703-706-4460,Membership,,
101,Alexandria Public Schools,5.10012E+11,60,Naomi L. Brooks Elementary,KG,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Suzanne  Hess ,600 Russell Rd,,Alexandria,VA,22301,703-706-4440,Membership,,
101,Alexandria Public Schools,5.10012E+11,50,Patrick Henry K-8 School,KG,8,Local Education Agency,Public school - Regular,Combined,Traditional Elementary,Ingrid  Bynum ,4643 Taney Ave,,Alexandria,VA,22304,703-461-4170,Membership,,
101,Alexandria Public Schools,5.10012E+11,333,Samuel W. Tucker Elementary,KG,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,C. Rene  Paschal ,435 Ferdinand Day Dr,,Alexandria,VA,22304,703-933-6300,Membership,,
101,Alexandria Public Schools,,8888,Special Situation Schools,,,Local Education Agency,Unknown,,,   ,,,,,,,Non-Membership,,
101,Alexandria Public Schools,5.10012E+11,331,TC Williams Minnie Howard Campus,,,Local Education Agency,SNP feeding site,,4X4,Cheryl  Mills ,3801 W. Braddock Rd.,,Alexandria,VA,22304,703-824-6600,Non-Membership,,
101,Alexandria Public Schools,5.10012E+11,190,William Ramsay Elementary,KG,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Michael  Routhouska ,5700 Sanger Ave,,Alexandria,VA,22311,703-824-6950,Membership,,
3,Alleghany County Public Schools,5.10015E+11,310,Alleghany High,9,12,Local Education Agency,Public school - Regular,High,4X4,Karen C. Staunton ,210 Mountaineer Drive,,Covington,VA,24426,540-863-1700,Membership,,
3,Alleghany County Public Schools,5.10015E+11,110,Callaghan Elementary,KG,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Joshua S. Craft ,4050 Midland Trail,,Covington,VA,24426,540-965-1810,Membership,,
3,Alleghany County Public Schools,5.10015E+11,1040,Clifton Middle,6,8,Local Education Agency,Public school - Regular,Middle,6 period,George Marty Wood ,100 Sharon School Circle,,Clifton Forge,VA,24422,540-863-1726,Membership,,
3,Alleghany County Public Schools,,9990,Community PK School,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
3,Alleghany County Public Schools,,9991,Home Educational Services,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
3,Alleghany County Public Schools,,9999,Homebased,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
3,Alleghany County Public Schools,,9998,Homebound,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
3,Alleghany County Public Schools,5.10015E+11,1041,Mountain View Elementary,KG,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,April C. Easton ,100 Gleason Dr.,,Covington,VA,24426,540-863-1737,Membership,,
3,Alleghany County Public Schools,5.10015E+11,90,Sharon Elementary,KG,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Thomas L. Dobbs ,100 Sharon School Circle,,Clifton Forge,VA,24422,540-863-1712,Membership,,
3,Alleghany County Public Schools,,8888,Special Situation Schools,,,Local Education Agency,Unknown,,,   ,,,,,,,Non-Membership,,
4,Amelia County Public Schools,5.10018E+11,220,Amelia County Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Lisa  Davis ,8533 N Five Forks Rd,,Amelia Court House,VA,23002,804-561-2433,Membership,,
4,Amelia County Public Schools,5.10018E+11,10,Amelia County High,9,12,Local Education Agency,Public school - Regular,High,7 period,Dr. John  Ringstaff ,8500 Otterburn Rd,,Amelia Court House,VA,23002,804-561-2101,Membership,,
4,Amelia County Public Schools,5.10018E+11,210,Amelia County Middle,6,8,Local Education Agency,Public school - Regular,Middle,7 period,Bobby  Shockley ,8740 Otterburn Road,,Amelia,VA,23002,804-561-4422,Membership,,
4,Amelia County Public Schools,,9990,Community PK School,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
4,Amelia County Public Schools,,9991,Home Educational Services,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
4,Amelia County Public Schools,,9999,Homebased,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
4,Amelia County Public Schools,,9998,Homebound,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
4,Amelia County Public Schools,,8888,Special Situation Schools,,,Local Education Agency,Unknown,,,   ,,,,,,,Non-Membership,,
5,Amherst County Public Schools,5.10021E+11,780,Amelon Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,James E Sales Jr ,132 Amer Court,,Madison Heights,VA,24572,434-528-6498,Membership,,
5,Amherst County Public Schools,5.10021E+11,750,Amherst County High,9,12,Local Education Agency,Public school - Regular,High,4X4,Mr. Derrick  Brown ,139 Lancer Lane,,Amherst,VA,24521,434-946-2898,Membership,,
5,Amherst County Public Schools,,30,Amherst Educational Center,,,Local Education Agency,SNP feeding site,,,   ,219 Trojan Lane,,Madison Heights,VA,24572,434-528-6485,Non-Membership,,
5,Amherst County Public Schools,5.10021E+11,790,Amherst Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Jennifer H Crews ,156 Davis St,,Amherst,VA,24521,434-946-9704,Membership,,
5,Amherst County Public Schools,5.10021E+11,670,Amherst Middle,6,8,Local Education Agency,Public school - Regular,Middle,4X4,Kelly  Holmes ,165 Gordons Fairground Rd,,Amherst,VA,24521,434-946-0691,Membership,,
5,Amherst County Public Schools,5.10021E+11,770,Central Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Derek  Adam ,575 Union Hill Rd,,Amherst,VA,24521,434-946-9700,Membership,,
5,Amherst County Public Schools,,9990,Community PK School,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
5,Amherst County Public Schools,5.10021E+11,760,Elon Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Kimberly A Scott ,147 Younger Dr,,Madison Heights,VA,24572,434-528-6496,Membership,,
5,Amherst County Public Schools,,9991,Home Educational Services,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
5,Amherst County Public Schools,,9999,Homebased,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
5,Amherst County Public Schools,,9998,Homebound,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
5,Amherst County Public Schools,,9997,Local or Regional Jail,KG,12,Local Education Agency,Local or Regional Jail,Combined,,   ,P.O. Box 1257,,Amherst,VA,24521,804-946-9341,Membership,,
5,Amherst County Public Schools,5.10021E+11,500,Madison Heights Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Jeremy  Hutchinson ,287 Learning Lane,,Madison Heights,VA,24572,434-846-2151,Membership,,
5,Amherst County Public Schools,5.10021E+11,20,Monelison Middle,6,8,Local Education Agency,Public school - Regular,Middle,4X4,Ms. Lea  Gray ,257 Trojan Rd,,Madison Heights,VA,24572,434-846-1307,Membership,,
5,Amherst County Public Schools,,8888,Special Situation Schools,,,Local Education Agency,Unknown,,,   ,,,,,,,Non-Membership,,
5,Amherst County Public Schools,5.10021E+11,740,Temperance Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Timothy  Crawford ,1981 Lowesville Rd,,Amherst,VA,24521,434-946-2811,Membership,,
6,Appomattox County Public Schools,5.10024E+11,260,Appomattox County High,9,12,Local Education Agency,Public school - Regular,High,4X4,Dr. Francis L Moreno ,198 Evergreen Avenue,,Appomattox,VA,24522,434-352-7146,Membership,,
6,Appomattox County Public Schools,5.10024E+11,110,Appomattox Elementary,3,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mrs. Karen  Cyrus ,176 Kids Place,,Appomattox,VA,24522,434-352-7463,Membership,,
6,Appomattox County Public Schools,5.10024E+11,160,Appomattox Middle,6,8,Local Education Agency,Public school - Regular,Middle,4X4,Mrs. Julie B Amos ,2020 Church St,,Appomattox,VA,24522,434-352-8257,Membership,,
6,Appomattox County Public Schools,5.10024E+11,250,Appomattox Primary,PK,2,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mrs. Allison E Maxwell ,185 Learning Lane,,Appomattox,VA,24522,434-352-5766,Membership,,
6,Appomattox County Public Schools,,9990,Community PK School,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
6,Appomattox County Public Schools,,9991,Home Educational Services,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
6,Appomattox County Public Schools,,9999,Homebased,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
6,Appomattox County Public Schools,,9998,Homebound,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
6,Appomattox County Public Schools,,9997,Local or Regional Jail,KG,12,Local Education Agency,Local or Regional Jail,Combined,,   ,P.O. Box 548,316 Court St.,Appomattox,VA,24522,434-352-8251,Membership,,
6,Appomattox County Public Schools,,8888,Special Situation Schools,,,Local Education Agency,Unknown,,,   ,,,,,,,Non-Membership,,
7,Arlington County Public Schools,5.10027E+11,350,Abingdon Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,David  Horak ,3035 S Abingdon St,,Arlington,VA,22206,703-228-6650,Membership,,
7,Arlington County Public Schools,5.10027E+11,160,Alice West Fleet Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Francis  Legagneur ,115 S Old Glebe Road,,Arlington,VA,22204,703-228-5820,Membership,,
7,Arlington County Public Schools,,621,Alternative Education Program Feeding Site,,,Local Education Agency,SNP feeding site,,,   ,1426 N Quincy St,,Arlington,VA,22207,703-228-6010,Non-Membership,,
7,Arlington County Public Schools,5.10027E+11,618,Arlington Community High,9,12,Local Education Agency,Public school - Regular,High,4X4,Dr. Barbara  Thompson ,800 S. Walter Reed Dr,,Arlington,VA,22204,703-228-5350,Membership,,
7,Arlington County Public Schools,,629,Arlington Science Focus School,PK,5,Local Education Agency,Public school - Regular,Elementary,,   ,1501 Lincoln Street,,Arlington,VA,22201,703-228-7670,Membership,,
7,Arlington County Public Schools,5.10027E+11,470,Arlington Traditional,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Holly  Hawthorne ,1030 N. MCKINLEY ROAD,,Arlington,VA,22205,703-228-6290,Membership,,
7,Arlington County Public Schools,5.10027E+11,490,Ashlawn Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Ms. Breonna  McClain ,5950 N. 8th Road,,Arlington,VA,22205,703-228-5270,Membership,,
7,Arlington County Public Schools,5.10027E+11,150,Barcroft Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Ms. Judy  Apostolico-Buck ,625 S Wakefield St,,Arlington,VA,22204,703-228-5838,Membership,,
7,Arlington County Public Schools,5.10027E+11,250,Barrett Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mrs. Ragan  Sohr ,4401 N Henderson Rd,,Arlington,VA,22203,703-228-6288,Membership,,
7,Arlington County Public Schools,5.10027E+11,615,Campbell Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Ms. Maureen  Nesselrode ,737 S. Carlin Springs Rd.,,Arlington,VA,22204,703-228-6770,Membership,,
7,Arlington County Public Schools,5.10027E+11,380,Cardinal Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mr. Colin  Brown ,1644 N. McKinley Road,,Arlington,VA,22205,703-228-5280,Membership,,
7,Arlington County Public Schools,5.10027E+11,90,Carlin Springs Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,   ,5995 South 5th Road,,Arlington,VA,22204,703-228-6645,Membership,,
7,Arlington County Public Schools,5.10027E+11,622,Claremont Immersion,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Ms. Jessica  Panfil ,4700 S. Chesterfield Rd.,,Arlington,VA,22206,703-228-2500,Membership,,
7,Arlington County Public Schools,,9990,Community PK School,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
7,Arlington County Public Schools,5.10027E+11,626,Discovery Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Dr. Erin  Russo ,5241 36th Street North,,Arlington,VA,22207,703-288-2685,Membership,,
7,Arlington County Public Schools,5.10027E+11,628,Dorothy Hamm Middle,6,8,Local Education Agency,Public school - Regular,Middle,,Ms. Ellen  Smith ,4100 N Vacation Lane,,Arlington,VA,22207,703-228-2910,Membership,,
